name,album,artist,mood
Send Me on My Way,Music From Party of Five,Various Artists,Happy
Seven Nation Army,Elephant,The White Stripes,Happy
She Kind of Looks Like You,She Kind of Looks Like You,AFTRHOURS,Sad
She Remembers (Piano Solo),She Remembers (Piano Solo),Pieter Savenberg,Calm
Shifts Of Light,Still Waters,Avery Young,Calm
Shimmer,The Best of Fuel,Fuel,Surprise
Shine,Shine,Manse,Happy
Should Have Known Better,Carrie & Lowell,Sufjan Stevens,Sad
Should I Stay or Should I Go - Remastered,Hits Back,The Clash,Happy
Silhouette,Have You In My Wilderness,Julia Holter,Sad
Silver Lining,Silver Lining,Pieter de Graaf,Calm
Simple Song,The Boy Who Cried Wolf,Passenger,Sad
Sinking Man - The Walking Dead Soundtrack,The Walking Dead (AMC?s Original Soundtrack ? Vol. 1),Various Artists,Sad
Sintra,Reflections,Made Of Gold,Calm
Siren Song - Radio Edit,Siren Song,CamelPhat,Happy
Skinny Love,"For Emma, Forever Ago",Bon Iver,Sad
Sleep,Son of a Lady,Hope Sandoval and the Warm Inventions,Sad
Slow It Down,The Lumineers,The Lumineers,Sad
Smile,"Alright, Still (Deluxe)",Lily Allen,Happy
Smooth Criminal,Anthology,Alien Ant Farm,Surprise
Snowfall,Piano Piano,Florejan,Calm
Solitude,Solitude,Joep Beving,Calm
Some Kind Of Love,Wonderful Wonderful,The Killers,Sad
Somebody - Josef Bamba Remix Radio Edit,Somebody (Josef Bamba Remixes),Oliver Ingrosso,Happy
Somebody That I Used To Know,Making Mirrors,Gotye,Happy
Someday,Chapter I,City of the Sun,Calm
Someone Like You,21,Adele,Sad
Someone New,Someone New,Thomas Gold,Happy
Somewhere Only We Know,Somewhere Only We Know,Valentin,Sad
Son of a Lady,Son of a Lady,Hope Sandoval and the Warm Inventions,Sad
"Song to the Siren - Recorded at Strongroom Studios, London",Spotify Singles,Wolf Alice,Sad
South Beach,South Beach,Vicetone,Surprise
Spirit In The Sky,Spirit In The Sky,Norman Greenbaum,Happy
Start Me Up - Remastered,Tattoo You (2009 Re-Mastered),The Rolling Stones,Happy
Stay,Stay,Gracie Abrams,Sad
Stay Here,Stay Here,Olaars & Will Philips,Surprise
Stay Home,Stay Home,Golden Sleep,Calm
Stay Still,Stay Still,Alberto L. Ferro,Calm
"Steady, As She Goes",Broken Boy Soldiers,The Raconteurs,Happy
Still Alive,Still Alive,Mastrovita,Surprise
Still Waiting to Start,"The Sun Will Come up, The Seasons Will Change & The Flowers Will Fall",Nina Nesbitt,Sad
Stormy Weather,Stormy Weather,Lost Horse Mine,Calm
Story Of A Violin,Story Of A Violin,Sandro Silva,Happy
Strange Dreams,Solo Piano,Ella van der Woude,Calm
Streets,Rivals,Kensington,Happy
Stricken,Ten Thousand Fists,Disturbed,Surprise
Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,Happy
Stupify,The Sickness (10th Anniversary Edition),Disturbed,Surprise
Such Great Heights,Around The Well,Iron & Wine,Sad
Suds & Soda,Worst Case Scenario,dEUS,Happy
Suhpratti,Hum,Parazal,Calm
Summer Boredom,Solo Piano,Ella van der Woude,Calm
Summer-Blink,Treasure Hiding: The Fontana Years,Cocteau Twins,Sad
Sun In Our Eyes - Don Diablo Remix,Sun In Our Eyes (Don Diablo Remix),MØ,Happy
Sunspots,Comforter,Bodywash,Sad
Supermarket,Manuela,Manuela,Sad
Supersonic (feat. Christian Burns),Supersonic (feat. Christian Burns),Swanky Tunes,Surprise
Superstition,Number 1's,Stevie Wonder,Happy
Surrender,Surrender,Natalie Taylor,Sad
Swerve City,Koi No Yokan,Deftones,Surprise
Take Everything,Take Everything,Gareth Emery,Happy
Take on Me,Hunting High and Low,a-ha,Happy
Takeoff,Takeoff,Silo Silo,Calm
Talking In Your Sleep,In Heat,The Romantics,Happy
Target,Target,Tom Kalani,Calm
Teardrop - Remastered 2006,Bite Size Massive Attack,Massive Attack,Sad
Teardrops - Single Version,Music For Groovin',Various Artists,Happy
Tears Don't Fall,The Poison,Bullet For My Valentine,Surprise
Teenage Dirtbag,Wheatus,Wheatus,Happy
Tegel,Tegel,Lambert,Calm
Telling Tales,Telling Tales,Song Sung,Sad
Thank You for the Venom,Three Cheers for Sweet Revenge,My Chemical Romance,Surprise
The A Team,The A Team,Ed Sheeran,Sad
The Boys Are Back In Town,Jailbreak (Deluxe Edition),Thin Lizzy,Happy
The Calvary Cross,Live in Studio,Still Corners,Sad
The Choice,The Last of Us,Gustavo Santaolalla,Calm
The Dazzler,Ex:Re,Ex:Re,Sad
The Disappearance of the Unmoved Mover,The Disappearance of the Unmoved Mover,So Vea,Calm
The Discovery,The Discovery,Sulfur Springs,Calm
The Dreamer,The Dreamer,Charles Bolt,Calm
The Five Times I Loved You,Pyramid Train,Cora Zea,Calm
The Funeral,The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Various Artists,Sad
The Good in Goodbye (Alternate Version),The Good in Goodbye (Alternate Version),Alexander Wren,Sad
The Hardest Button To Button,Elephant,The White Stripes,Surprise
The Hell Song,All The Good Sh**. 14 Solid Gold Hits (2000-2008),Sum 41,Surprise
The Hummingbird,The Hummingbird,Barry Adamson,Sad
The Hunger,The Hunger,Bat For Lashes,Sad
The Joker,The Joker,Steve Miller Band,Happy
The King (with Dzeko),The King (with Dzeko),Dimitri Vangelis & Wyman,Surprise
The Message,Slow Air,Still Corners,Sad
The Mind's Eye,This Ascension is Ours,Song Sung,Sad
The Night We Met,Strange Trails,Lord Huron,Sad
The Night We Met - Rework,The Night We Met,Nico Casal,Calm
The Safety Dance,Greatest,Men Without Hats,Happy
The Snail?s Teachings II: The Wonders of,In Between (B-Side),Steven Vrancken,Calm
The Temporary,The Temporary,Kate Teague,Sad
The Times Are Tired,Views from Sixteen Stories,Alaskan Tapes,Calm
The Wall,The Wall,Alok,Surprise
There For You,There For You,Gorgon City,Surprise
Thin White Duchess,Thin White Duchess,Martin Thulin,Sad
Thirteen Thirty-Five,This Silence Kills,Dillon,Sad
This Reminds You - Satie Remix,This Reminds You,Remy Van Kesteren,Calm
Throw Me a Bone,Throw Me a Bone,Goat Girl,Sad
Tilted Towers,Tilted Towers,Alesso,Happy
Time Out,Time Out,Amoll,Calm
Time Travel,Rooftops,AMBIE,Calm
Tiptoeing,Tiptoeing,Jacco Wynia,Calm
To Build A Home,Ma Fleur,The Cinematic Orchestra,Sad
To The Hilt,To The Hilt,BANKS,Sad
To the Moon,To the Moon,Junodream,Sad
Tomorrow,Tomorrow,Annelie,Calm
Toxic,Rattlesnake!,A Static Lullaby,Surprise
Transatlanticism,Transatlanticism,Death Cab for Cutie,Sad
Trastevere,Universo en Miniatura Vol. 1,Sebastián Escofet,Calm
Trees - Solo Piano,Trees,Patrick Hamilton,Calm
Trying My Best,Trying My Best,Anson Seabra,Sad
Tu Vois,Tu Vois,Bram de Looze,Calm
Tubthumping,Tubthumper,Chumbawamba,Happy
Tuesday,Tuesday,Annelie,Calm
Twist And Shout - Remastered 2009,Please Please Me (Remastered),The Beatles,Happy
Two Princes,Pocket Full Of Kryptonite,Spin Doctors,Happy
UFOF,UFOF,Big Thief,Sad
Under A Killing Moon,The Artist In The Ambulance,Thrice,Surprise
Understudy,Understudy,Josie Mehlin,Calm
Underwater - Tinlicker Remix,Underwater (Tinlicker Remix),Gabriel & Dresden,Happy
Unintended,Showbiz,Muse,Sad
United,United,Armin van Buuren,Happy
Universe,Universe,Noah Vanden Abeele,Calm
Unmade,Unmade,Thom Yorke,Sad
Up Against (Blackout),Louder Now (Deluxe),Taking Back Sunday,Surprise
Uprising,The Resistance,Muse,Surprise
Used to Be,Used to Be,Jurrivh,Calm
Vagabond,Vagabond,Steve Gunn,Sad
Vague,Envision,Amaranth Cove,Calm
Valse Lente,Valse Lente,Wilson Trouvé,Calm
Vamos,Vamos,Dimitri Vangelis & Wyman,Surprise
Venom,Venom,Dave202,Happy
Video Games - Remastered,Born To Die - The Paradise Edition,Lana Del Rey,Sad
Video Killed The Radio Star,The Age Of Plastic,The Buggles,Happy
Virtual Insanity - Remastered,High Times - The Singles 1992 - 2006,Jamiroquai,Happy
Viva La Vida,Viva La Vida (Prospekt's March Edition),Coldplay,Happy
Voices,The Sickness (10th Anniversary Edition),Disturbed,Surprise
Wait For Me,Wanderlust,Steve Brian,Happy
Waiting,Skisser,Alice Boman,Sad
Waiting For Tomorrow (feat. Mike Shinoda),BYLAW EP,Martin Garrix,Surprise
Waiting On the World to Change,Continuum,John Mayer,Happy
Waiting like the Storm,Nocturne in Green,Rand Aldo,Calm
War,Rivals,Kensington,Happy
Wash It All Away,Got Your Six (Deluxe),Five Finger Death Punch,Surprise
Watching Clouds Disappear,Watching Clouds Disappear,Florejan,Calm
Water Colors,Water Colors,Star Slide,Calm
Water Lillies,Water Lillies,A Teardrop In The Lake,Calm
Watersong,Wings Of Joy (Expanded Edition),Cranes,Sad
Wave of Mutilation,Wave of Mutilation,Beacon,Sad
We Are Your Friends - Justice Vs Simian,We Are Your Friends,Simian,Happy
We Wait,For Their Love,Other Lives,Sad
Welcome Home,Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness,Coheed and Cambria,Surprise
"Welcome Home, Son",Ghost,Radical Face,Sad
What I Like About You,What I Like About You (And Other Romantic Hits),The Romantics,Happy
What Should Have Been,What Should Have Been,Ron Verboom,Calm
What You Love You Must Love Now,Everywhere And Right Here,The Six Parts Seven,Calm
What's Good,What's Good,Fenne Lily,Sad
When The World Stood Still,When The World Stood Still,Florejan Verschueren,Calm
When They Come,When They Come,Threading Hair,Calm
When You Left,When You Left,Rouge Haven,Calm
Where Your Mind Wants to Go - RONE Remix,Where Your Mind Wants to Go (RONE Remix),Blonde Redhead,Sad
While the Rest of the World Sleeps,While the Rest of the World Sleeps,Josh Kramer,Calm
Whiskey In The Jar,"Garage, Inc.",Metallica,Surprise
White Lies,We Sound Electric,Stacy Crowne,Surprise
White Lies - Guy Arthur Remix,White Lies (The Remixes),The Him,Surprise
White Sparks,White Sparks,Wilson Trouvé,Calm
Whitehaven,Whitehaven,Martèn LeGrand,Calm
Why Can't We Be Friends?,Why Can't We Be Friends?,War,Happy
Wild Trails,Wild Trails,Epi-Soothe,Calm
Wild Wild Son - Club Mix,Wild Wild Son (Club Mix),Armin van Buuren,Surprise
Willet,Swan,Dust Follows,Calm
Winter Scenery,Winter Scenery,Wilson Trouvé,Calm
Wish I Was Better,Wish I Was Better,Kina,Sad
Wish You Were Here - 2011 Remastered Version,Wish You Were Here [2011 - Remaster] (2011 Remastered Version),Pink Floyd,Sad
Wished,Wished,Sorry,Sad
Without,Inertia,The Exies,Surprise
Wolkendans,Soms Alleen,Doeke,Calm
Wonderful Together (feat. Envy Monroe),Wonderful Together (feat. Envy Monroe),Blasterjaxx,Happy
Wonderwall,(What's the Story) Morning Glory?,Oasis,Happy
Woodland Heart,Woodland Heart,Ghost Of Summer,Calm
Words I Heard,Words I Heard,Julia Holter,Sad
Worlds Collide - Edison Cole Remix,Worlds Collide (Remixes),NERVO,Happy
Would You Rather,Stranger in the Alps,Phoebe Bridgers,Sad
Wrong Way,Sublime Greatest Hits,Sublime,Surprise
Yam Yam,Yam Yam,No Vacation,Sad
You Are Safe With Me,delta/alpha,Jef Martens,Calm
You Can't Rely on My Love,You Can't Rely on My Love,Mordkey,Happy
You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,Happy
You Were Bored,You Were Bored,Loyal Lobos,Sad
"You're Gonna Go Far, Kid",21 Alt Rock Anthems,Various Artists,Surprise
You're My Best Friend - Remastered 2011,Queen 40 Limited Edition Collector's Box Set,Queen,Happy
Your Turn Now,Your Turn Now,Aaron Smith,Sad
Youth,The Wild Youth EP,Daughter,Sad
alpha waves,alpha waves,Eucalyptic,Calm
blue,blue,Kamal.,Sad
coeur noir,coeur noir,Leo Nocta,Calm
comethru,"summer,",Jeremy Zucker,Sad
cry on airplanes,cry on airplanes,Julian,Sad
i don't want to watch the world end with someone else,i don't want to watch the world end with someone else,Clinton Kane,Sad
lovely (with Khalid),lovely (with Khalid),Billie Eilish,Sad
mellow,sleep escape,cloudcrush,Calm
no song without you,no song without you,HONNE,Sad
pass you by,the voicenotes,Alaina Castillo,Sad
the frost,sentience,praam,Calm
the theme song,notion,Teodor Wolgers,Calm
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Sad
windcatcher,windcatcher,Leo Nocta,Calm
yellow is the color of her eyes,yellow is the color of her eyes,Soccer Mommy,Sad
you broke me first,you broke me first,Tate McRae,Sad
you were good to me,brent,Jeremy Zucker,Sad
æfre,æfre,praam,Calm
Sick Thoughts,Sick Thoughts,Lewis Blissett,Angry
Mo Bamba,MUDBOY,Sheck Wes,Angry
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,Angry
Foot Fungus,STOKELEY,Ski Mask The Slump God,Angry
Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,Angry
Rasputin,Rasputin,Majestic,Angry
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,Angry
Whoopty,Whoopty,CJ,Angry
Streets,Hot Pink,Doja Cat,Angry
Goosebumps - Remix,Goosebumps (Remix),Travis Scott,Angry
Paparazzi,Paparazzi,Kim Dracula,Angry
hot girl bummer,hot girl bummer,blackbear,Angry
Runnin Low,Runnin Low,Kieran Alleyne,Angry
___ ______ ______ (My head is spinning like a screw),___ ______ ______ (My head is spinning like a screw),kostromin,Angry
Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,Angry
Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,Angry
Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),______,Angry
_______ - The Sumo Remix,_______ (Remix Pack),______,Angry
Superlife,Superlife,Lox Chatterbox,Angry
Invincible,Meet The Woo 2,Pop Smoke,Angry
How She Walk,How She Walk,TheGrimLynn,Angry
Arabian Night,Arabian Night,_wirek,Angry
Monster,Monster,Besomorph,Angry
PHONKY TOWN,PHONKY TOWN,PlayaPhonk,Angry
Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],Feder,Angry
Blood // Water,Blood // Water,grandson,Angry
Fed Up,ANTI-ICON,Ghostemane,Angry
Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,Angry
Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),Eminem,Angry
The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],Various Artists,Angry
Get You The Moon (feat. Sn?w),Get You The Moon (feat. Sn?w),Kina,Disgust
Jocelyn Flores,17,XXXTENTACION,Disgust
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Disgust
how to live,how to live,yaeow,Disgust
It's You,YOU,Ali Gatie,Disgust
Loosing Interest,Passion & Confusion,Timmies,Disgust
Tell Me Goodbye,Tell Me Goodbye,ORYL,Disgust
Dead and Cold,Dead and Cold,ELIJAH MOON,Disgust
Heather,Kid Krow,Conan Gray,Disgust
Reckless,Reckless,Madison Beer,Disgust
paradise,paradise,cliffe,Disgust
Me Too,Me Too,April Jai,Disgust
Six Feet Under,Six Feet Under,Billie Eilish,Disgust
Circles,Hollywood's Bleeding,Post Malone,Disgust
All Alone,All Alone,S?lace,Disgust
Nobody Knows My Name,Nobody Knows My Name,DANIEL,Disgust
Everybody Dies In Their Nightmares,17,XXXTENTACION,Disgust
More to the Story,More to the Story,Kristina Nichol,Disgust
talk with me (about it),talk with me (about it),Brvno,Disgust
Heartbreak Anniversary,TAKE TIME,Giveon,Disgust
i haven't let go,i haven't let go,RNAQ,Disgust
idfc,deadroses,blackbear,Disgust
Till Forever Falls Apart,Till Forever Falls Apart,Ashe,Disgust
I Need You,I Need You,ORYL,Disgust
Someone Like You,21,Adele,Disgust
Train Wreck,Back from the Edge,James Arthur,Disgust
When I'm Gone,When I'm Gone,Wikw,Disgust
Goodbye,Goodbye,Rachel Lorin,Disgust
bad ones,TOO YOUNG TO BE SAD,Tate McRae,Disgust
Helluvaride,Helluvaride,Oceans Ahead,Disgust
Arcade,Small Town Boy (Track By Track),Duncan Laurence,Disgust
Therapy,Therapy,Tasty,Disgust
r u ok,TOO YOUNG TO BE SAD,Tate McRae,Disgust
Goddess Kinda Power - Acoustic Version,Goddess Kinda Power (Acoustic Version),Josefine,Disgust
Horrors in the Dark,Horrors in the Dark,Sofi Gev,Disgust
Like the Weather,Like the Weather,Hand Made House,Disgust
Happier,? (Deluxe),Ed Sheeran,Disgust
Get to Me,Get to Me,Emma Charles,Disgust
Skin,Skin,Sabrina Carpenter,Disgust
Self Destructive,Self Destructive,Julia Rizik,Disgust
On The Low,On The Low,Wovy,Disgust
7 Years,Lukas Graham,Lukas Graham,Disgust
Oxygen,Welcome To Jupiter 1.0,Grace Gaustad,Disgust
slower,slower,Tate McRae,Disgust
What I Need,What I Need,ORYL,Disgust
drivers license,drivers license,Olivia Rodrigo,Disgust
Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,Disgust
Half A Man,A Place We Knew,Dean Lewis,Disgust
1-800-273-8255,Everybody,Logic,Disgust
Amen,Amen,John Adams,Disgust
Let It Go,Chaos And The Calm,James Bay,Disgust
lovely (with Khalid),lovely (with Khalid),Billie Eilish,Disgust
changes,?,XXXTENTACION,Disgust
"i hate u, i love u (feat. olivia o'brien)",us,gnash,Disgust
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Disgust
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Disgust
Too Late For Sorries,Too Late For Sorries,Wovy,Disgust
Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith,Disgust
You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,Disgust
Lost Without You,Lost Without You,Freya Ridings,Disgust
Sweater Weather,Sweater Weather,ORYL,Disgust
Dead End,Dead End,Jan Metternich,Disgust
Be Alright,A Place We Knew,Dean Lewis,Disgust
Can We Kiss Forever?,Can We Kiss Forever?,Kina,Disgust
Circles,Start as You Mean to Go On,Iann Brennan,Disgust
Say Something,Is There Anybody Out There?,A Great Big World,Disgust
If The World Was Ending,If The World Was Ending,JP Saxe,Disgust
my future,my future,Billie Eilish,Disgust
Nude,In Rainbows,Radiohead,Disgust
At My Worst,The Prelude,Pink Sweat$,Disgust
Fix You,X&Y,Coldplay,Disgust
ANXIOUS,ANXIOUS,Josh A,Disgust
XO,i think you think too much of me,EDEN,Disgust
Coaster,American Teen,Khalid,Disgust
Not About Angels,Not About Angels,Birdy,Disgust
Let Her Go,All The Little Lights,Passenger,Disgust
Save Your Tears,After Hours,The Weeknd,Disgust
Breathe Me,Colour The Small One,Sia,Disgust
Broken,Broken,Lund,Disgust
Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Disgust
Let You Down,Perception,NF,Disgust
Coaster,Coaster,Khalid,Disgust
Say You Won't Let Go,Back from the Edge,James Arthur,Disgust
Let Her Go - Acoustic,All The Little Lights,Passenger,Disgust
Moonlight,YOU,Ali Gatie,Disgust
Stay,Unapologetic (Deluxe),Rihanna,Disgust
You're Beautiful,Back to Bedlam,James Blunt,Disgust
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,Disgust
Breakeven,The Script,The Script,Disgust
Yellow,Parachutes,Coldplay,Disgust
Feel,Escapology,Robbie Williams,Disgust
How to Save a Life,How To Save A Life,The Fray,Disgust
you broke me first,you broke me first,Tate McRae,Disgust
Bigger Than Me,The Show Is Over,Baker Grace,Disgust
No Surprises,OK Computer,Radiohead,Disgust
Heart of Gold - 2009 Remaster,Harvest (2009 Remaster),Neil Young,Disgust
All of Me,Love In The Future (Expanded Edition),John Legend,Disgust
you were good to me (bonus track),love is not dying,Jeremy Zucker,Disgust
the remedy for a broken heart (why am I so in love),?,XXXTENTACION,Disgust
Lie,Perception,NF,Disgust
Fearless Pt. II,NCS: The Best of 2017,Various Artists,Fear
Fearless,Fearless,Lost Sky,Fear
Ark,Ark,Star Party,Fear
Supersonic,Supersonic,Rob Gasser,Fear
Fearless Pt. II,NCS: The Best of 2017,Various Artists,Fear
Mortals,Mortals,Warriyo,Fear
Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,Fear
Fearless,Fearless,Lost Sky,Fear
Ark,Ark,Star Party,Fear
Ark,Ark,Star Party,Fear
Mortals,Mortals,Warriyo,Fear
Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,Fear
Supersonic,Supersonic,Rob Gasser,Fear
Feel Good,Feel Good,Syn Cole,Fear
Fearless Pt. II,NCS: The Best of 2017,Various Artists,Fear
Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,Fear
Mortals,Mortals,Warriyo,Fear
Fearless,Fearless,Lost Sky,Fear
Blank,Blank,Disfigure,Fear
Symbolism,Symbolism,Electro-Light,Fear
Symbolism,Symbolism,Electro-Light,Fear
Blank,Blank,Disfigure,Fear
On & On,On & On,Cartoon,Fear
On & On,On & On,Cartoon,Fear
Invincible,Invincible,Deaf Kev,Fear
Invincible,Invincible,Deaf Kev,Fear
Sky High,Sky High,Elektronomia,Fear
Nekozilla,NCS: Infinity,Various Artists,Fear
Firefly,Firefly,Jim Yosef,Fear
Hope (Original Mix),Hope,Tobu,Fear
Leave The Door Open,Leave The Door Open,Bruno Mars,Happy
Dynamite,Dynamite (DayTime Version),BTS,Happy
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,Happy
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,Happy
Perfect,? (Deluxe),Ed Sheeran,Happy
GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas,Happy
We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu,Happy
Dance Monkey,Dance Monkey,Tones And I,Happy
Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,Happy
Sugar,V (Deluxe),Maroon 5,Happy
Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5,Happy
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,Happy
Useless,Useless,Two Friends,Happy
Roar,PRISM (Deluxe),Katy Perry,Happy
The Lazy Song,Doo-Wops & Hooligans,Bruno Mars,Happy
Thinking out Loud,x (Deluxe Edition),Ed Sheeran,Happy
damn i love the rain,damn i love the rain,Gabriella Zauna,Happy
Intentions (feat. Quavo),Changes,Justin Bieber,Happy
That's What I Like,24K Magic,Bruno Mars,Happy
Makes Me Feel This Way,Makes Me Feel This Way,Nairobi,Happy
Lean On (feat. M? & DJ Snake),Peace Is The Mission : Extended,Major Lazer,Happy
Barcelona,Barcelona,Andra,Happy
Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists,Happy
Hymn for the Weekend,A Head Full of Dreams,Coldplay,Happy
The Nights,Stories,Avicii,Happy
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,Happy
I Feel It Coming,Starboy,The Weeknd,Happy
No Lie,No Lie,Sean Paul,Happy
All of Me,Love In The Future (Expanded Edition),John Legend,Happy
Sweet Dreams - Radio Killer Remix,Sweet Dreams (Radio Killer Remix),Andra,Happy
Cheap Thrills (feat. Sean Paul),This Is Acting (Deluxe Version),Sia,Happy
Don't Start Now,Future Nostalgia,Dua Lipa,Happy
On The Floor,Love?,Jennifer Lopez,Happy
Closer,Closer,The Chainsmokers,Happy
The Real Slim Shady,The Marshall Mathers LP,Eminem,Happy
2002,2002,Anne-Marie,Happy
Sweater Weather,I Love You.,The Neighbourhood,Happy
Better,Better,Khalid,Happy
Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,Happy
Adventure of a Lifetime,A Head Full of Dreams,Coldplay,Happy
It's My Life,Crush,Bon Jovi,Happy
Yummy,Yummy,Justin Bieber,Happy
24K Magic,24K Magic,Bruno Mars,Happy
Physical,Future Nostalgia,Dua Lipa,Happy
Cover Me In Sunshine,Cover Me In Sunshine,P!nk,Happy
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,Happy
Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II (Deluxe Edition),Gym Class Heroes,Happy
Wake Me Up,TRUE,Avicii,Happy
Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,Happy
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Grateful,DJ Khaled,Happy
Something Just Like This,Something Just Like This,The Chainsmokers,Happy
Waiting For Love,Stories,Avicii,Happy
Eenie Meenie,Eenie Meenie,Sean Kingston,Happy
Watermelon Sugar,Fine Line,Harry Styles,Happy
Night Changes,FOUR (Deluxe),One Direction,Happy
Say So,Hot Pink,Doja Cat,Happy
Electric,Electric,Katy Perry,Happy
Higher Power,Higher Power,Coldplay,Happy
My Head & My Heart,Heaven & Hell,Ava Max,Happy
Hold On,Hold On,Justin Bieber,Happy
Follow You,Follow You / Cutthroat,Imagine Dragons,Happy
BED,BED,Joel Corry,Happy
Run,Run,OneRepublic,Happy
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",34+35 (Remix),Ariana Grande,Happy
On The Ground,R,ROS?,Happy
Floating Through Space,Floating Through Space,Sia,Happy
Waves of Blue,Waves of Blue,Majid Jordan,Happy
Fireworks (feat. Moss Kena & The Knocks),Fireworks (feat. Moss Kena & The Knocks),Purple Disco Machine,Happy
Titans (feat. Sia & Labrinth),Music Is The Weapon (Reloaded),Major Lazer,Happy
Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo,Happy
Let?s Go Home Together,Let?s Go Home Together (Luca Schreiner Remix),Ella Henderson,Happy
Dancing On Dangerous (feat. Sof?a Reyes),Dancing On Dangerous (feat. Sof?a Reyes),Imanbek,Happy
Off My Face,Justice,Justin Bieber,Happy
Girl From Rio,Girl From Rio,Anitta,Happy
Treat People With Kindness,Fine Line,Harry Styles,Happy
Medicine,Medicine,James Arthur,Happy
Starstruck,Starstruck,Years & Years,Happy
Hey Boy (feat. Burna Boy),Hey Boy (feat. Burna Boy),Sia,Happy
Deserve You,Justice,Justin Bieber,Happy
Higher (feat. iann dior),Higher (feat. iann dior),Clean Bandit,Happy
Heathens,Heathens,Twenty One Pilots,Calm
Attention,Voicenotes,Charlie Puth,Calm
There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,Calm
Believer,Evolve,Imagine Dragons,Calm
Galway Girl,? (Deluxe),Ed Sheeran,Calm
Faded,Different World,Alan Walker,Calm
Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,Calm
Fight Song,Wildfire,Rachel Platten,Calm
Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,Calm
Shape of You,? (Deluxe),Ed Sheeran,Calm
Something Just Like This,Memories...Do Not Open,The Chainsmokers,Calm
Treat You Better,Illuminate (Deluxe),Shawn Mendes,Calm
Thunder,Evolve,Imagine Dragons,Calm
Havana (feat. Young Thug),Camila,Camila Cabello,Calm
Let Me Love You,Encore,DJ Snake,Calm
Mama,Blue,Jonas Blue,Calm
Alone,Different World,Alan Walker,Calm
That's What I Like,24K Magic,Bruno Mars,Calm
In the Name of Love,In the Name of Love,Martin Garrix,Calm
Wolves,Wolves,Selena Gomez,Calm
Mercy,Illuminate (Deluxe),Shawn Mendes,Calm
How Long,Voicenotes,Charlie Puth,Calm
Paris,Memories...Do Not Open,The Chainsmokers,Calm
